City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port hardy,50.6996,-127.4199,41.18,93,100,18.41,CA,1668983349
84,julio de castilhos,-29.2269,-53.6817,74.1,47,98,3.27,BR,1668983486
85,sandovo,58.4602,36.4128,14.68,99,88,0.45,RU,1668983255
86,zacatecoluca,13.5,-88.8667,84.38,82,83,2.19,SV,1668983487
87,victoria,22.2855,114.1577,75.38,78,30,10.0,HK,1668983221
88,rosarito,32.3333,-117.0333,79.41,30,0,9.1,MX,1668983488
89,tasiilaq,65.6145,-37.6368,37.56,83,100,15.32,GL,1668983489
90,lompoc,34.6391,-120.4579,72.01,22,0,12.66,US,1668983489
91,tiznit,29.5833,-9.5,64.65,34,0,3.76,MA,1668983490
92,grindavik,63.8424,-22.4338,41.47,81,75,17.27,IS,1668983354
93,vaini,-21.2,-175.2,80.76,78,75,6.91,TO,1668983491
94,new norfolk,-42.7826,147.0587,51.93,65,51,8.01,AU,1668983492
95,vardo,70.3705,31.1107,35.58,87,100,6.91,NO,1668983493
96,spring hill,28.4769,-82.5255,54.01,94,100,9.22,US,1668983493
97,punta alta,-38.8759,-62.0736,64.54,66,8,14.88,AR,1668983494
98,verkhnevilyuysk,63.4453,120.3167,-27.0,100,61,2.06,RU,1668983495
99,necochea,-38.5473,-58.7368,55.94,85,97,13.71,AR,1668983495
100,atuona,-9.8,-139.0333,77.54,73,17,11.52,PF,1668983496
101,vestmannaeyjar,63.4427,-20.2734,44.64,75,40,23.42,IS,1668983497
102,guerrero negro,27.9769,-114.0611,70.09,34,2,10.85,MX,1668983497
103,yeniseysk,58.4497,92.1703,7.66,92,100,6.64,RU,1668983498
104,santa cruz,-17.8,-63.1667,87.85,58,75,14.97,BO,1668983211
105,namibe,-15.1961,12.1522,72.88,76,100,6.13,AO,1668983499
106,sanford,28.8006,-81.2731,58.95,94,100,11.5,US,1668983500
107,ouagadougou,12.3642,-1.5383,77.13,31,48,5.75,BF,1668983406
108,saint-francois,46.4154,3.9054,44.04,93,75,3.44,FR,1668983474
109,jacareacanga,-6.2222,-57.7528,81.27,67,89,2.21,BR,1668983502
110,hermanus,-34.4187,19.2345,53.8,80,2,7.72,ZA,1668983502
111,galveston,29.3669,-94.9669,56.17,68,38,9.95,US,1668983503
112,merrill,45.1805,-89.6835,24.75,67,0,3.44,US,1668983447
113,sinnamary,5.3833,-52.95,79.52,81,96,10.87,GF,1668983504
114,airai,-8.9266,125.4092,63.32,89,100,1.68,TL,1668983504
115,mildura,-34.2,142.15,54.07,63,17,24.45,AU,1668983505
116,bolobo,-2.1667,16.2333,70.52,94,90,3.31,CD,1668983506
117,upernavik,72.7868,-56.1549,13.66,95,100,14.16,GL,1668983506
118,kaitangata,-46.2817,169.8464,64.24,67,70,6.73,NZ,1668983507
119,platteville,42.7342,-90.4785,37.63,51,0,13.8,US,1668983351
